policy_id,customer_id,insurer_id,product_type,premium_amount,policy_start_date,policy_end_date,status,created_at
POL000000,CUST00244,INS003,LIFE,13633.16,2025-03-10,2034-07-06,ACTIVE,2026-05-28T01:06:50.642367
POL000001,CUST00174,INS002,LIFE,10836.51,2025-07-09,2032-04-05,EXPIRED,2026-05-28T01:06:50.642444
POL000002,CUST00037,INS001,HEALTH,335.78,2024-07-07,2026-05-11,CANCELLED,2026-05-28T01:06:50.642500
POL000003,CUST00251,INS002,LIFE,11789.15,2025-07-27,2033-10-01,ACTIVE,2026-05-28T01:06:50.642551
POL000004,CUST00202,INS001,LIFE,3149.76,2025-05-27,2026-09-08,EXPIRED,2026-05-28T01:06:50.642600
POL000005,CUST00227,INS001,HOME,11196.77,2026-03-22,2030-08-10,CANCELLED,2026-05-28T01:06:50.642647
POL000006,CUST00184,INS001,HOME,4095.24,2025-04-20,2030-09-27,PENDING,2026-05-28T01:06:50.642695
POL000007,CUST00215,INS001,HEALTH,6238.18,2025-05-17,2034-01-25,EXPIRED,2026-05-28T01:06:50.642741
POL000008,CUST00146,INS001,AUTO,13140.22,2025-01-06,2029-04-22,INVALID_STATUS,2026-05-28T01:06:50.642787
POL000009,CUST00100,INS001,LIFE,13680.21,2025-10-29,2032-07-02,CANCELLED,2026-05-28T01:06:50.642833
POL000010,CUST00080,INS003,HEALTH,13895.58,2024-06-17,2030-06-28,ACTIVE,2026-05-28T01:06:50.642879
POL000011,CUST00143,INS001,HOME,508.12,2024-05-31,2033-02-17,PENDING,2026-05-28T01:06:50.642924
POL000012,CUST00239,INS002,TRAVEL,6437.49,2025-02-12,2032-05-29,CANCELLED,2026-05-28T01:06:50.642975
POL000013,CUST00178,INS001,LIFE,3014.17,2025-11-17,2028-10-15,ACTIVE,2026-05-28T01:06:50.643020
POL000014,CUST00190,INS002,TRAVEL,4438.99,2025-01-10,2034-03-14,PENDING,2026-05-28T01:06:50.643069
POL000015,CUST00105,INS003,AUTO,14053.86,2025-09-03,2030-08-18,EXPIRED,2026-05-28T01:06:50.643114
POL000016,CUST00242,INS003,HEALTH,13084.76,2024-07-20,2028-05-14,EXPIRED,2026-05-28T01:06:50.643159
POL000017,CUST00127,INS003,TRAVEL,3581.51,2025-03-31,2025-05-23,PENDING,2026-05-28T01:06:50.643229
POL000018,CUST00168,INS003,TRAVEL,14128.78,2026-04-21,2031-08-18,PENDING,2026-05-28T01:06:50.643295
POL000019,CUST00152,INS001,HOME,2457.75,2024-10-05,2033-03-24,PENDING,2026-05-28T01:06:50.643346
POL000020,CUST00126,INS002,LIFE,8764.89,2026-02-18,2026-05-07,EXPIRED,2026-05-28T01:06:50.643395
POL000021,CUST00189,INS002,LIFE,14802.67,2024-11-14,2030-04-04,EXPIRED,2026-05-28T01:06:50.643441
POL000022,CUST00135,INS003,LIFE,14476.36,2025-03-07,2030-08-22,CANCELLED,2026-05-28T01:06:50.643486
POL000023,CUST00262,INS001,AUTO,1749.9,2025-03-15,2034-12-27,CANCELLED,2026-05-28T01:06:50.643532
POL000024,CUST00141,INS001,HEALTH,12291.15,2025-11-28,2026-06-17,ACTIVE,2026-05-28T01:06:50.643578
POL000025,CUST00292,INS001,HOME,8051.62,2025-07-04,2033-05-27,PENDING,2026-05-28T01:06:50.643629
POL000026,CUST00011,INS003,HOME,1025.87,2024-06-04,2030-01-10,CANCELLED,2026-05-28T01:06:50.643675
POL000027,CUST00246,INS001,AUTO,3136.72,2024-06-03,2025-06-13,CANCELLED,2026-05-28T01:06:50.643720
POL000028,CUST00096,INS002,AUTO,10585.58,2025-03-15,2034-06-21,PENDING,2026-05-28T01:06:50.643765
POL000029,CUST00225,INS003,AUTO,9018.02,2024-07-26,2032-08-05,ACTIVE,2026-05-28T01:06:50.643810
